osa:4323962	Os01g0524400
osa:4324028	Os01g0511000
osa:4324029	Os01g0511100
osa:4324030	Os01g0511200
osa:4324031	Os01g0511300; K03039 26S proteasome regulatory subunit N9
osa:4324032	Os01g0511600
osa:4324034	Os01g0511800
osa:4324035	Os01g0512100
osa:4324036	Os01g0512200
osa:4324037	Os01g0505600; K13448 calcium-binding protein CML
osa:4324038	Os01g0505700
osa:4324039	Os01g0506100
osa:4324040	Os01g0506200
osa:4324044	Os01g0507000
osa:4324045	Os01g0507300
osa:4324047	Os01g0507500; K15186 ELL-associated factor
osa:4324048	Os01g0507700
osa:4324049	Os01g0507900; K01358 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
osa:4324050	Os01g0508000; K05350 beta-glucosidase [EC:3.2.1.21]
osa:4324051	Os01g0508100
osa:4324052	Os01g0508300
osa:4324053	Os01g0158200; K16297 serine carboxypeptidase-like clade II [EC:3.4.16.-]
osa:4324055	Os01g0158400
osa:4324056	Os01g0158500
osa:4324057	Os01g0158600
osa:4324058	Os01g0158900; K15683 NF-X1-type zinc finger protein NFXL1
osa:4324059	Os01g0159000
osa:4324060	Os01g0159200
osa:4324061	Os01g0159300
osa:4324062	Os01g0159400; K00232 acyl-CoA oxidase [EC:1.3.3.6]
osa:4324063	Os01g0159500
osa:4324064	Os01g0159600
osa:4324065	Os01g0159800
osa:4324066	Os01g0160100; K01568 pyruvate decarboxylase [EC:4.1.1.1]
osa:4324067	Os01g0160200
osa:4324068	Os01g0160800
osa:4324069	Os01g0160900
osa:4324070	Os01g0161000
osa:4324071	Os01g0161200
osa:4324072	Os01g0154300
osa:4324073	Os01g0154500
osa:4324074	Os01g0154600
osa:4324076	Os01g0154900
osa:4324077	Os01g0155000
osa:4324078	Os01g0155400
osa:4324079	Os01g0155500
osa:4324080	Os01g0155600; K12896 splicing factor, arginine/serine-rich 7
osa:4324081	Os01g0155800
osa:4324082	Os01g0156000
osa:4324083	Os01g0156300
osa:4324084	Os01g0157200
osa:4324085	Os01g0157600
osa:4324086	Os01g0157800; K09539 DnaJ homolog subfamily C member 19
osa:4324087	Os01g0157900
osa:4324088	Os01g0158000
osa:4324089	Os01g0158100
osa:4324091	Os01g0603000; K13199 plasminogen activator inhibitor 1 RNA-binding protein
osa:4324092	Os01g0603100
osa:4324093	Os01g0603200
osa:4324094	Os01g0603300
osa:4324095	Os01g0603700
osa:4324096	Os01g0603800
osa:4324097	Os01g0604000
osa:4324098	Os01g0604100
osa:4324099	Os01g0604300
osa:4324100	Os01g0604500; K13448 calcium-binding protein CML
osa:4324101	Os01g0604600
osa:4324102	Os01g0604700
osa:4324103	Os01g0604900
osa:4324104	Os01g0605000
osa:4324105	Os01g0605100
osa:4324106	Os01g0685900
osa:4324107	Os01g0686000
osa:4324108	Os01g0686100
osa:4324109	Os01g0686200
osa:4324110	Os01g0686300
osa:4324111	Os01g0686400
osa:4324112	Os01g0686500
osa:4324113	Os01g0686600; K12867 pre-mRNA-splicing factor SYF1
osa:4324115	Os01g0686800; K14753 guanine nucleotide-binding protein subunit beta-2-like 1 protein
osa:4324116	Os01g0687300
osa:4324117	Os01g0687400; K01183 chitinase [EC:3.2.1.14]
osa:4324118	Os01g0687500; K00604 methionyl-tRNA formyltransferase [EC:2.1.2.9]
osa:4324119	Os01g0687600
osa:4324122	Os01g0792400
osa:4324128	Os01g0793100
osa:4324129	Os01g0793200
osa:4324130	Os01g0793500
osa:4324132	Os01g0793800
osa:4324133	Os01g0793900
osa:4324134	Os01g0794100
osa:4324135	Os01g0794400
osa:4324136	Os01g0794500; K03113 translation initiation factor 1
osa:4324137	Os01g0794800
osa:4324139	Os01g0683400; K02606 origin recognition complex subunit 4
osa:4324140	Os01g0683600
osa:4324142	Os01g0684200; K14137 protein prenyltransferase alpha subunit repeat containing protein 1
osa:4324143	Os01g0684800
osa:4324144	Os01g0684900; K03327 multidrug resistance protein, MATE family
osa:4324145	Os01g0685000
osa:4324146	Os01g0685200; K10753 histone chaperone ASF1
osa:4324147	Os01g0685300
osa:4324149	Os01g0685500; K10747 DNA ligase 1 [EC:6.5.1.1]
osa:4324151	Os01g0685800; K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
osa:4324152	Os01g0732200; K03978 GTP-binding protein
osa:4324153	Os01g0732300
osa:4324158	Os01g0733200; K09419 heat shock transcription factor, other eukaryote
osa:4324159	Os01g0733500
osa:4324160	Os01g0733600
osa:4324161	Os01g0734000
osa:4324162	Os01g0734100; K02887 large subunit ribosomal protein L20
osa:4324163	Os01g0734200
osa:4324165	Os01g0734600
osa:4324166	Os01g0734800
osa:4324167	Os01g0735300
osa:4324168	Os01g0735500
osa:4324169	Os01g0735900
osa:4324170	Os01g0736000
osa:4324171	Os01g0653800
osa:4324172	Os01g0654100; K01937 CTP synthase [EC:6.3.4.2]
osa:4324173	Os01g0654200
osa:4324174	Os01g0654300
osa:4324175	Os01g0654400
osa:4324176	Os01g0654500; K00031 isocitrate dehydrogenase [EC:1.1.1.42]
osa:4324177	Os01g0655300
osa:4324178	Os01g0655400
osa:4324179	Os01g0655500
osa:4324180	Os01g0655800; K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]
osa:4324182	Os01g0656200; K14497 protein phosphatase 2C [EC:3.1.3.16]
osa:4324183	Os01g0656400
osa:4324184	Os01g0656600
osa:4324185	Os01g0656900
osa:4324186	Os01g0657000
osa:4324187	Os01g0657100
osa:4324188	Os01g0657400
osa:4324190	Os01g0580100; K05286 phosphatidylinositol glycan, class B [EC:2.4.1.-]
osa:4324191	Os01g0580200
osa:4324192	Os01g0580300
osa:4324193	Os01g0580400; K08066 nuclear transcription factor Y, gamma
osa:4324194	Os01g0580500; K05933 aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
osa:4324195	Os01g0580800
osa:4324196	Os01g0581300; K06444 lycopene epsilon-cyclase [EC:5.5.1.18]
osa:4324197	Os01g0581400
osa:4324199	Os01g0582400; K12737 peptidyl-prolyl cis-trans isomerase SDCCAG10 [EC:5.2.1.8]
osa:4324200	Os01g0582600
osa:4324201	Os01g0583100; K14497 protein phosphatase 2C [EC:3.1.3.16]
osa:4324202	Os01g0583200; K15263 cell growth-regulating nucleolar protein
osa:4324204	Os01g0584100
osa:4324205	Os01g0584200
osa:4324207	Os01g0584700
osa:4324208	Os01g0605200
osa:4324209	Os01g0605300; K13960 ubiquitin-conjugating enzyme E2 T [EC:6.3.2.19]
osa:4324210	Os01g0605400
osa:4324211	Os01g0605500; K10401 kinesin family member 18/19
osa:4324212	Os01g0605600
osa:4324213	Os01g0605700; K15382 solute carrier family 50 (sugar transporter)
osa:4324214	Os01g0606000; K15382 solute carrier family 50 (sugar transporter)
osa:4324215	Os01g0606100
osa:4324216	Os01g0606200
osa:4324217	Os01g0606400
osa:4324218	Os01g0606900
osa:4324219	Os01g0607000
osa:4324220	Os01g0607200
osa:4324221	Os01g0607300
osa:4324222	Os01g0607400
osa:4324233	Os01g0791200
osa:4324241	Os01g0702700; K09422 myb proto-oncogene protein, plant
osa:4324242	Os01g0702900; K14376 poly(A) polymerase [EC:2.7.7.19]
osa:4324243	Os01g0703000
osa:4324244	Os01g0703300
osa:4324245	Os01g0703400; K00787 farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
osa:4324247	Os01g0703600; K12393 AP-1 complex subunit mu
osa:4324248	Os01g0704000
osa:4324249	Os01g0704100
osa:4324250	Os01g0704200
osa:4324251	Os01g0704300
osa:4324252	Os01g0704400
osa:4324254	Os01g0705200
osa:4324255	Os01g0705300
osa:4324256	Os01g0705500
osa:4324258	Os01g0276200; K11518 mitochondrial import receptor subunit TOM40
osa:4324259	Os01g0276300
osa:4324260	Os01g0276400; K04505 presenilin 1 [EC:3.4.23.-]
osa:4324261	Os01g0276500; K11755 phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]
osa:4324262	Os01g0276600; K11982 E3 ubiquitin-protein ligase RNF115/126 [EC:6.3.2.19]
osa:4324263	Os01g0276700; K00873 pyruvate kinase [EC:2.7.1.40]
osa:4324264	Os01g0276800; K08288 protein kinase C substrate 80K-H
osa:4324266	Os01g0277100
osa:4324267	Os01g0277500
osa:4324268	Os01g0277600; K14802 phospholipid-transporting ATPase [EC:3.6.3.1]
osa:4324269	Os01g0277700
osa:4324270	Os01g0277900
osa:4324271	Os01g0278000
osa:4324272	Os01g0278100
osa:4324273	Os01g0278200
osa:4324274	Os01g0278600
osa:4324275	Os01g0278900
osa:4324276	Os01g0232000; K09873 aquaporin TIP
osa:4324277	Os01g0232100; K09873 aquaporin TIP
osa:4324278	Os01g0232300; K00784 ribonuclease Z [EC:3.1.26.11]
osa:4324279	Os01g0232400
osa:4324280	Os01g0232500; K10581 ubiquitin-conjugating enzyme E2 O [EC:6.3.2.19]
osa:4324281	Os01g0232600
osa:4324282	Os01g0232700; K00013 histidinol dehydrogenase [EC:1.1.1.23]
osa:4324283	Os01g0232800
osa:4324284	Os01g0233000
osa:4324285	Os01g0233100; K06627 cyclin A
osa:4324287	Os01g0233400; K11344 chromatin modification-related protein EAF6
osa:4324288	Os01g0233500; K06627 cyclin A
osa:4324289	Os01g0233800
osa:4324290	Os01g0233900; K10581 ubiquitin-conjugating enzyme E2 O [EC:6.3.2.19]
osa:4324291	Os01g0234100
osa:4324293	Os01g0234700
osa:4324294	Os01g0974300
osa:4324295	Os01g0974400
osa:4324296	Os01g0974500
osa:4324297	Os01g0974600
osa:4324298	Os01g0974700; K01507 inorganic pyrophosphatase [EC:3.6.1.1]
osa:4324300	Os01g0974900
osa:4324301	Os01g0975000
osa:4324302	Os01g0975300; K09422 myb proto-oncogene protein, plant
osa:4324303	Os01g0975900; K09873 aquaporin TIP
osa:4324304	Os01g0976000
osa:4324305	Os01g0976100
osa:4324306	Os01g0976200
osa:4324307	Os01g0976300
osa:4324309	Os01g0976500
osa:4324310	Os01g0976600; K06127 ubiquinone biosynthesis methyltransferase [EC:2.1.1.201]
osa:4324311	Os01g0976700
osa:4324312	Os01g0911300
osa:4324314	Os01g0911700
osa:4324315	Os01g0911800
osa:4324317	Os01g0912600; K15210 snRNA-activating protein complex subunit 3
osa:4324318	Os01g0912700
osa:4324319	Os01g0912900
osa:4324320	Os01g0913000
osa:4324321	Os01g0913100
osa:4324322	Os01g0913300
osa:4324323	Os01g0913400
osa:4324324	Os01g0913600
osa:4324325	Os01g0913700
osa:4324326	Os01g0913800
osa:4324327	Os01g0915600
osa:4324328	Os01g0915800; K09569 FK506-binding protein 2 [EC:5.2.1.8]
osa:4324329	Os01g0916000
osa:4324330	Os01g0916100
osa:4324331	Os01g0916200; K12400 AP-4 complex subunit epsilon-1
osa:4324332	Os01g0916300; K12865 polyglutamine-binding protein 1
osa:4324333	Os01g0916400
osa:4324334	Os01g0916600
osa:4324335	Os01g0916700
osa:4324336	Os01g0916800; K12879 THO complex subunit 2
osa:4324337	Os01g0917100
osa:4324338	Os01g0917200
osa:4324339	Os01g0917300
osa:4324340	Os01g0913900
osa:4324341	Os01g0914000
osa:4324342	Os01g0914100
osa:4324344	Os01g0914300
osa:4324345	Os01g0914400
osa:4324347	Os01g0914600
osa:4324348	Os01g0914700
osa:4324349	Os01g0914800
osa:4324350	Os01g0915000
osa:4324351	Os01g0915200
osa:4324354	Os01g0917400
osa:4324355	Os01g0917500
osa:4324356	Os01g0917700
osa:4324357	Os01g0917900
osa:4324358	Os01g0918100
osa:4324359	Os01g0918200; K12160 small ubiquitin-related modifier
osa:4324360	Os01g0918300; K12160 small ubiquitin-related modifier
osa:4324361	Os01g0918500
osa:4324363	Os01g0919200
osa:4324364	Os01g0919400
osa:4324365	Os01g0919500
osa:4324366	Os01g0919600
osa:4324367	Os01g0919700
osa:4324368	Os01g0919800; K13947 auxin efflux carrier family
osa:4324369	Os01g0265900
osa:4324370	Os01g0266000
osa:4324371	Os01g0266100; K16282 E3 ubiquitin-protein ligase RHA2 [EC:6.3.2.19]
osa:4324372	Os01g0266200
osa:4324373	Os01g0266300
osa:4324374	Os01g0266400
osa:4324375	Os01g0266500; K06998
osa:4324376	Os01g0266600
osa:4324377	Os01g0266800
osa:4324378	Os01g0267100
osa:4324379	Os01g0267200; K03030 26S proteasome regulatory subunit N11
osa:4324380	Os01g0267300; K13963 serpin B
osa:4324381	Os01g0267400
osa:4324382	Os01g0267600
osa:4324383	Os01g0267800
osa:4324384	Os01g0267900; K02183 calmodulin
osa:4324385	Os01g0268000
osa:4324386	Os01g0268100
osa:4324387	Os01g0680500
osa:4324388	Os01g0680600
osa:4324389	Os01g0680700
osa:4324390	Os01g0680900
osa:4324391	Os01g0681000
osa:4324393	Os01g0681200; K01897 long-chain acyl-CoA synthetase [EC:6.2.1.3]
osa:4324394	Os01g0681400; K08334 beclin 1
osa:4324395	Os01g0681600
osa:4324396	Os01g0681700
osa:4324397	Os01g0681800
osa:4324398	Os01g0681900; K00264 glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
osa:4324399	Os01g0682200; K05289 glycosylphosphatidylinositol transamidase
osa:4324401	Os01g0682500; K15918 D-glycerate 3-kinase [EC:2.7.1.31]
osa:4324404	Os01g0683100; K07767 microtubule-severing ATPase [EC:3.6.4.3]
osa:4324405	Os01g0161300
osa:4324407	Os01g0162300
osa:4324409	Os01g0162800
osa:4324410	Os01g0162900
osa:4324411	Os01g0163000
osa:4324412	Os01g0164400; K13098 RNA-binding protein FUS
osa:4324413	Os01g0164500; K14809 ATP-dependent RNA helicase DDX55/SPB4 [EC:3.6.4.13]
osa:4324414	Os01g0164600
osa:4324415	Os01g0164700
osa:4324416	Os01g0164800
osa:4324417	Os01g0164900
osa:4324418	Os01g0165000
osa:4324419	Os01g0729700
osa:4324420	Os01g0729900
osa:4324421	Os01g0730100
osa:4324422	Os01g0730200
osa:4324423	Os01g0730300; K16055 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
osa:4324424	Os01g0730400
osa:4324425	Os01g0730500
osa:4324426	Os01g0730700
osa:4324427	Os01g0730800; K13348 protein Mpv17
osa:4324428	Os01g0730900
osa:4324429	Os01g0731000
osa:4324430	Os01g0731100
osa:4324432	Os01g0731800
osa:4324434	Os01g0732000
osa:4324435	Os01g0732100
osa:4324436	Os01g0275200; K11593 eukaryotic translation initiation factor 2C
osa:4324438	Os01g0275600; K11593 eukaryotic translation initiation factor 2C
osa:4324440	Os01g0275900
osa:4324441	Os01g0276000; K02908 large subunit ribosomal protein L30e
osa:4324442	Os01g0276100; K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
osa:4324443	Os01g0588700
osa:4324444	Os01g0588800
osa:4324445	Os01g0588900; K06966
osa:4324446	Os01g0589000; K02945 small subunit ribosomal protein S1
osa:4324448	Os01g0589200
osa:4324449	Os01g0589300; K09422 myb proto-oncogene protein, plant
osa:4324450	Os01g0589400
osa:4324451	Os01g0589500
osa:4324452	Os01g0589700
osa:4324453	Os01g0589800
osa:4324455	Os01g0590200
osa:4324458	Os01g0963400
osa:4324459	Os01g0963600
osa:4324461	Os01g0964000; K08516 synaptobrevin homolog YKT6
osa:4324462	Os01g0964800
osa:4324463	Os01g0964900
osa:4324465	Os01g0965400; K09903 uridylate kinase [EC:2.7.4.22]
osa:4324466	Os01g0965500
osa:4324467	Os01g0965600
osa:4324468	Os01g0965800
osa:4324469	Os01g0965900
osa:4324471	Os01g0966100
osa:4324472	Os01g0966200; K02221 YggT family protein
osa:4324473	Os01g0966300; K01412 mitochondrial processing peptidase [EC:3.4.24.64]
osa:4324474	Os01g0966400
osa:4324475	Os01g0966500
osa:4324476	Os01g0500900; K01866 tyrosyl-tRNA synthetase [EC:6.1.1.1]
osa:4324477	Os01g0501000
osa:4324478	Os01g0501700; K03118 sec-independent protein translocase protein TatC
osa:4324479	Os01g0501800; K02716 photosystem II oxygen-evolving enhancer protein 1
osa:4324480	Os01g0502400
osa:4324481	Os01g0502700; K11251 histone H2A
osa:4324486	Os01g0503400
osa:4324489	Os01g0504100
osa:4324490	Os01g0504500
osa:4324491	Os01g0505400; K12261 2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]
osa:4324492	Os01g0505500
osa:4324493	Os01g0151700
osa:4324494	Os01g0152000
osa:4324495	Os01g0152300; K11252 histone H2B
osa:4324496	Os01g0152500
osa:4324497	Os01g0152600
osa:4324498	Os01g0152700; K11252 histone H2B
osa:4324499	Os01g0152800
osa:4324500	Os01g0152900; K11252 histone H2B
osa:4324501	Os01g0153000
osa:4324502	Os01g0153100; K11252 histone H2B
osa:4324503	Os01g0153200
osa:4324504	Os01g0153300; K11252 histone H2B
osa:4324505	Os01g0153400; K01876 aspartyl-tRNA synthetase [EC:6.1.1.12]
osa:4324506	Os01g0153500
osa:4324507	Os01g0153700
osa:4324508	Os01g0153800
osa:4324509	Os01g0154000
osa:4324510	Os01g0149400
osa:4324511	Os01g0149500
osa:4324512	Os01g0149600; K11252 histone H2B
osa:4324513	Os01g0149700
osa:4324514	Os01g0149800
osa:4324515	Os01g0149900
osa:4324516	Os01g0150000; K10258 very-long-chain enoyl-CoA reductase [EC:1.3.1.93]
osa:4324517	Os01g0150100
osa:4324518	Os01g0150200; K10703 very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase [EC:4.2.1.134]
osa:4324520	Os01g0150500; K10703 very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase [EC:4.2.1.134]
osa:4324521	Os01g0150800; K10703 very-long-chain (3R)-3-hydroxyacyl-[acyl-carrier protein] dehydratase [EC:4.2.1.134]
osa:4324522	Os01g0150900
osa:4324523	Os01g0151100
osa:4324524	Os01g0151200; K03217 preprotein translocase subunit YidC
osa:4324525	Os01g0151400; K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2]
osa:4324526	Os01g0151500; K00681 gamma-glutamyltranspeptidase [EC:2.3.2.2]
osa:4324527	Os01g0151600
osa:4324532	Os01g0393100
osa:4324533	Os01g0393400
osa:4324536	Os01g0495200
osa:4324537	Os01g0495900
osa:4324538	Os01g0496900
osa:4324539	Os01g0498200
osa:4324540	Os01g0498300
osa:4324541	Os01g0499100
osa:4324542	Os01g0499300; K11866 STAM-binding protein [EC:3.1.2.15]
osa:4324543	Os01g0500400
osa:4324545	Os01g0500600
osa:4324546	Os01g0961600
osa:4324548	Os01g0962100
osa:4324549	Os01g0962200
osa:4324550	Os01g0962300; K02155 V-type H+-transporting ATPase 16kDa proteolipid subunit [EC:3.6.3.14]
osa:4324551	Os01g0962400; K12162 ubiquitin-fold modifier 1
osa:4324552	Os01g0962500
osa:4324553	Os01g0962600; K02947 small subunit ribosomal protein S10e
osa:4324554	Os01g0962700; K00430 peroxidase [EC:1.11.1.7]
osa:4324555	Os01g0962900
osa:4324556	Os01g0963000; K00430 peroxidase [EC:1.11.1.7]
osa:4324557	Os01g0963200; K00430 peroxidase [EC:1.11.1.7]
osa:4324558	Os01g0963300; K08500 syntaxin of plants SYP6
osa:4324560	Os01g0555100
osa:4324561	Os01g0555200
osa:4324562	Os01g0555300
osa:4324563	Os01g0555400
osa:4324564	Os01g0555600
osa:4324565	Os01g0555800; K01462 peptide deformylase [EC:3.5.1.88]
osa:4324566	Os01g0556400; K09518 DnaJ homolog subfamily B member 12
osa:4324567	Os01g0556600
osa:4324568	Os01g0556700
osa:4324570	Os01g0557100
osa:4324571	Os01g0557200
osa:4324572	Os01g0557400
osa:4324573	Os01g0557500; K07300 Ca2+:H+ antiporter
osa:4324574	Os01g0558100
osa:4324576	Os01g0217000
osa:4324577	Os01g0217100
osa:4324579	Os01g0217300
osa:4324580	Os01g0217500
osa:4324581	Os01g0217800
osa:4324583	Os01g0218100
osa:4324584	Os01g0218200
osa:4324585	Os01g0218500; K16223 protein FLOWERING LOCUS T
osa:4324587	Os01g0218700
osa:4324588	Os01g0218800
osa:4324589	Os01g0218900
osa:4324590	Os01g0219000
osa:4324591	Os01g0219100
osa:4324592	Os01g0599900
osa:4324593	Os01g0600000; K02140 F-type H+-transporting ATPase subunit g [EC:3.6.3.14]
osa:4324595	Os01g0600300
osa:4324596	Os01g0600400
osa:4324597	Os01g0600500
osa:4324599	Os01g0600900; K08912 light-harvesting complex II chlorophyll a/b binding protein 1
osa:4324600	Os01g0601000
osa:4324601	Os01g0601200
osa:4324603	Os01g0602200
osa:4324604	Os01g0602400
osa:4324605	Os01g0602500
osa:4324606	Os01g0602800
osa:4324608	Os01g0770400
osa:4324609	Os01g0770500
osa:4324610	Os01g0770700
osa:4324611	Os01g0770800
osa:4324612	Os01g0771000
osa:4324613	Os01g0771100
osa:4324614	Os01g0771200
osa:4324615	Os01g0771300
osa:4324616	Os01g0771400; K11838 ubiquitin carboxyl-terminal hydrolase 7 [EC:3.1.2.15]
osa:4324619	Os01g0771900
osa:4324620	Os01g0772000
osa:4324621	Os01g0749400; K16055 trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.15 3.1.3.12]
osa:4324622	Os01g0749900; K15280 solute carrier family 35, member C2
osa:4324623	Os01g0750000; K07976 Rab family, other
osa:4324624	Os01g0750100
osa:4324625	Os01g0750300; K10999 cellulose synthase A [EC:2.4.1.12]
osa:4324626	Os01g0750400
osa:4324627	Os01g0750500
osa:4324628	Os01g0750600
osa:4324629	Os01g0750800
osa:4324630	Os01g0750900
osa:4324631	Os01g0751300
osa:4324632	Os01g0751400
osa:4324634	Os01g0751600
osa:4324636	Os01g0752100
osa:4324637	Os01g0752200; K05605 3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]
osa:4324638	Os01g0219200
osa:4324639	Os01g0219300
osa:4324640	Os01g0219500
osa:4324641	Os01g0219600
osa:4324642	Os01g0219900
osa:4324643	Os01g0220100
osa:4324644	Os01g0220200
osa:4324645	Os01g0220300; K02990 small subunit ribosomal protein S6
osa:4324646	Os01g0220400
osa:4324647	Os01g0220500
osa:4324648	Os01g0220700; K15382 solute carrier family 50 (sugar transporter)
osa:4324650	Os01g0221100; K14487 auxin responsive GH3 gene family
osa:4324651	Os01g0221300
osa:4324652	Os01g0221500
osa:4324653	Os01g0221600
osa:4324654	Os01g0720600
osa:4324655	Os01g0720700; K00640 serine O-acetyltransferase [EC:2.3.1.30]
osa:4324656	Os01g0721000
osa:4324657	Os01g0721100
osa:4324658	Os01g0721400
osa:4324659	Os01g0721700
osa:4324660	Os01g0721800
osa:4324661	Os01g0721900; K13199 plasminogen activator inhibitor 1 RNA-binding protein
osa:4324662	Os01g0722100; K00677 UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
osa:4324664	Os01g0722300; K09422 myb proto-oncogene protein, plant
osa:4324666	Os01g0722700; K00844 hexokinase [EC:2.7.1.1]
osa:4324667	Os01g0722800
osa:4324669	Os01g0723000; K03234 elongation factor 2
osa:4324670	Os01g0723100
osa:4324671	Os01g0723200; K02974 small subunit ribosomal protein S24e
osa:4324672	Os01g0558200; K00262 glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
osa:4324673	Os01g0558300
osa:4324674	Os01g0558500
osa:4324675	Os01g0558600; K07976 Rab family, other
osa:4324676	Os01g0558800
osa:4324677	Os01g0558900
osa:4324678	Os01g0559000
osa:4324679	Os01g0559100; K01875 seryl-tRNA synthetase [EC:6.1.1.11]
osa:4324680	Os01g0559200; K14291 phosphorylated adapter RNA export protein
osa:4324681	Os01g0559300
osa:4324682	Os01g0559500
osa:4324683	Os01g0559600; K01369 legumain [EC:3.4.22.34]
osa:4324685	Os01g0559900
osa:4324686	Os01g0560000; K14664 IAA-amino acid hydrolase [EC:3.5.1.-]
osa:4324687	Os01g0560200; K08493 vesicle transport through interaction with t-SNAREs 1
osa:4324690	Os01g0561600
osa:4324691	Os01g0718300; K13415 protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]
osa:4324692	Os01g0718500
osa:4324693	Os01g0718900
osa:4324694	Os01g0719000
osa:4324695	Os01g0719100; K10144 RING finger and CHY zinc finger domain-containing protein 1 [EC:6.3.2.19]
osa:4324697	Os01g0719300
osa:4324698	Os01g0719400
osa:4324699	Os01g0719600
osa:4324700	Os01g0719700
osa:4324701	Os01g0719800
osa:4324704	Os01g0720400
osa:4324705	Os01g0720500; K08912 light-harvesting complex II chlorophyll a/b binding protein 1
osa:4324706	Os01g0772100
osa:4324708	Os01g0772400
osa:4324709	Os01g0772500
osa:4324710	Os01g0772600
osa:4324711	Os01g0772700
osa:4324712	Os01g0772800; K03106 signal recognition particle subunit SRP54
osa:4324713	Os01g0772900; K00547 homocysteine S-methyltransferase [EC:2.1.1.10]
osa:4324714	Os01g0773000; K06176 tRNA pseudouridine13 synthase [EC:5.4.99.27]
osa:4324715	Os01g0773100
osa:4324716	Os01g0773200
osa:4324717	Os01g0723400; K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
osa:4324718	Os01g0723600
osa:4324719	Os01g0723700
osa:4324720	Os01g0723800; K05658 ATP-binding cassette, subfamily B (MDR/TAP), member 1
osa:4324722	Os01g0724500
osa:4324725	Os01g0725400
osa:4324726	Os01g0725600
osa:4324727	Os01g0725800
osa:4324728	Os01g0725900
osa:4324729	Os01g0726000
osa:4324730	Os01g0726100
osa:4324731	Os01g0726400
osa:4324732	Os01g0726700
osa:4324733	Os01g0727100
osa:4324734	Os01g0727400
osa:4324736	Os01g0860800
osa:4324737	Os01g0860900
osa:4324738	Os01g0861000
osa:4324739	Os01g0861700
osa:4324741	Os01g0861900
osa:4324742	Os01g0862000
osa:4324744	Os01g0862200
osa:4324745	Os01g0862300
osa:4324746	Os01g0862400
osa:4324747	Os01g0862500
osa:4324748	Os01g0862600
